type56, 0.001250, 0, 3
akm, 0.00138, 0, 3
bhp, 0.00290, 0, 0
dp28, 0.0014580, 0, 0
f1smg, 0.00290, 0, 3
k50, 0.00290, 0, 4
l1a1, 0.000340, 0, 3
l1a2, 0.000340, 0, 0
m14, 0.000340, 0.0010, 3
m16, 0.000420, 0, 3
1911, 0.00480, 0, 3
1917, 0.00480, 0.00350, 3
bar, 0.000340, 0, 0
1919, 0.00080, 0, 0
m1a1, 0.00350, 0, 3
m1gd, 0.000340, 0, 0
m1g, 0.000340, 0.0010, 3
m1c, 0.000850, 0, 3
m2c, 0.000850, 0, 3
m3a1, 0.00430, 0.0053750, 3
m40, 0.0002080, 0, 0
m60, 0.00080, 0, 0
mas49scope, 0.0002760, 0, 0
mas49, 0.000340, 0.0010, 3
mat499mm, 0.00290, 0, 3
mat49762, 0.0025, 0, 3
mosinscope, 0.0004140, 0, 3
mosin, 0.0004140, 0, 3
mp40, 0.00220, 0.00290, 3
owen, 0.00220, 0, 0
pm, 0.00380, 0, 3
ppsh, 0.00220, 0, 4
rp46, 0.0009720, 0, 0
rpd, 0.0009720, 0, 0
sks, 0.00070, 0, 3
svd, 0.0002760, 0, 0
tt33, 0.00480, 0, 3
xm177e1, 0.000840, 0, 3
xm21, 0.0002760, 0, 0
baikallong, 0.0175, 0.0029, 0
baikalcoach, 0.03, 0.0043, 0
baikalsawn, 0.0375, 0.015, 0
stakeout, 0.034, 0, 0
duck, 0.035, 0, 0
trench, 0.034, 0.038, 0
